ts_code,code,name,area,industry,list_status,list_date,is_hs
300044.SZ,300044,赛为智能,深圳,软件服务,L,20100120,N
300045.SZ,300045,华力创通,北京,IT设备,L,20100120,N
300046.SZ,300046,台基股份,湖北,半导体,L,20100120,N
300047.SZ,300047,天源迪科,深圳,软件服务,L,20100120,N
300048.SZ,300048,合康新能,北京,电气设备,L,20100120,S
300049.SZ,300049,福瑞股份,内蒙,医疗保健,L,20100120,S
300050.SZ,300050,世纪鼎利,广东,通信设备,L,20100120,N
300051.SZ,300051,三五互联,福建,互联网,L,20100211,N
300052.SZ,300052,中青宝,深圳,互联网,L,20100211,S
300053.SZ,300053,欧比特,广东,半导体,L,20100211,S
300054.SZ,300054,鼎龙股份,湖北,化工原料,L,20100211,S
300055.SZ,300055,万邦达,北京,环境保护,L,20100226,S
300056.SZ,300056,中创环保,福建,环境保护,L,20100226,N
300057.SZ,300057,万顺新材,广东,铝,L,20100226,S
300058.SZ,300058,蓝色光标,北京,广告包装,L,20100226,S
300059.SZ,300059,东方财富,上海,证券,L,20100319,S
300061.SZ,300061,旗天科技,上海,互联网,L,20100319,N
300062.SZ,300062,中能电气,福建,电气设备,L,20100319,N
300063.SZ,300063,天龙集团,广东,互联网,L,20100326,N
300065.SZ,300065,海兰信,北京,船舶,L,20100326,S
300066.SZ,300066,三川智慧,江西,电器仪表,L,20100326,S
300067.SZ,300067,安诺其,上海,染料涂料,L,20100421,N
300068.SZ,300068,南都电源,浙江,电气设备,L,20100421,S
300069.SZ,300069,金利华电,山西,电气设备,L,20100421,N
300070.SZ,300070,碧水源,北京,环境保护,L,20100421,S
300071.SZ,300071,福石控股,北京,广告包装,L,20100421,N
300072.SZ,300072,海新能科,北京,环境保护,L,20100427,S
300073.SZ,300073,当升科技,北京,电气设备,L,20100427,S
300074.SZ,300074,华平股份,上海,软件服务,L,20100427,N
300075.SZ,300075,数字政通,北京,软件服务,L,20100427,S
300076.SZ,300076,GQY视讯,浙江,IT设备,L,20100430,N
300077.SZ,300077,国民技术,深圳,半导体,L,20100430,S
300078.SZ,300078,思创医惠,浙江,软件服务,L,20100430,N
300079.SZ,300079,数码视讯,北京,通信设备,L,20100430,S
300080.SZ,300080,易成新能,河南,电气设备,L,20100625,S
300081.SZ,300081,恒信东方,北京,文教休闲,L,20100520,N
300082.SZ,300082,奥克股份,辽宁,化工原料,L,20100520,S
300083.SZ,300083,创世纪,广东,机床制造,L,20100520,S
300084.SZ,300084,海默科技,甘肃,专用机械,L,20100520,N
300085.SZ,300085,银之杰,深圳,软件服务,L,20100526,S
300086.SZ,300086,康芝药业,海南,化学制药,L,20100526,N
300087.SZ,300087,荃银高科,安徽,种植业,L,20100526,S
300088.SZ,300088,长信科技,安徽,元器件,L,20100526,S
300089.SZ,300089,*ST文化,广东,文教休闲,L,20100625,N
300091.SZ,300091,金通灵,江苏,机械基件,L,20100625,S
300092.SZ,300092,科新机电,四川,专用机械,L,20100708,N
300093.SZ,300093,金刚光伏,甘肃,玻璃,L,20100708,S
300094.SZ,300094,国联水产,广东,渔业,L,20100708,S
300095.SZ,300095,华伍股份,江西,电气设备,L,20100728,N
300096.SZ,300096,易联众,福建,软件服务,L,20100728,N
300097.SZ,300097,智云股份,辽宁,专用机械,L,20100728,N
300098.SZ,300098,高新兴,广东,软件服务,L,20100728,S
300099.SZ,300099,精准信息,山东,电器仪表,L,20100806,N
300100.SZ,300100,双林股份,浙江,汽车服务,L,20100806,N
300101.SZ,300101,振芯科技,四川,通信设备,L,20100806,S
300102.SZ,300102,乾照光电,福建,半导体,L,20100812,S
300103.SZ,300103,达刚控股,陕西,环境保护,L,20100812,N
300105.SZ,300105,龙源技术,山东,电器仪表,L,20100820,N
300106.SZ,300106,西部牧业,新疆,乳制品,L,20100820,N
300107.SZ,300107,建新股份,河北,化工原料,L,20100820,N
300108.SZ,300108,*ST吉药,吉林,中成药,L,20100825,N
300109.SZ,300109,新开源,河南,化工原料,L,20100825,S
300110.SZ,300110,华仁药业,山东,化学制药,L,20100825,S
300111.SZ,300111,向日葵,浙江,化学制药,L,20100827,N
300112.SZ,300112,万讯自控,深圳,电器仪表,L,20100827,N
300113.SZ,300113,顺网科技,浙江,互联网,L,20100827,S
300114.SZ,300114,中航电测,陕西,电器仪表,L,20100827,S
300115.SZ,300115,长盈精密,深圳,元器件,L,20100902,S
300116.SZ,300116,保力新,陕西,电气设备,L,20100902,S
300117.SZ,300117,嘉寓股份,北京,装修装饰,L,20100902,N
300118.SZ,300118,东方日升,浙江,电气设备,L,20100902,S
300119.SZ,300119,瑞普生物,天津,农业综合,L,20100917,S
300120.SZ,300120,经纬辉开,天津,元器件,L,20100917,N
300121.SZ,300121,阳谷华泰,山东,化工原料,L,20100917,N
300122.SZ,300122,智飞生物,重庆,生物制药,L,20100928,S
300123.SZ,300123,亚光科技,湖南,半导体,L,20100928,S
300124.SZ,300124,汇川技术,深圳,电器仪表,L,20100928,S
300125.SZ,300125,聆达股份,辽宁,电气设备,L,20101013,S
300126.SZ,300126,锐奇股份,上海,轻工机械,L,20101013,N
300127.SZ,300127,银河磁体,四川,矿物制品,L,20101013,S
300128.SZ,300128,锦富技术,江苏,元器件,L,20101013,N
300129.SZ,300129,泰胜风能,上海,电气设备,L,20101019,S
300130.SZ,300130,新国都,深圳,IT设备,L,20101019,S
300131.SZ,300131,英唐智控,深圳,元器件,L,20101019,S
300132.SZ,300132,青松股份,福建,化工原料,L,20101026,N
300133.SZ,300133,华策影视,浙江,影视音像,L,20101026,S
300134.SZ,300134,大富科技,安徽,通信设备,L,20101026,S
300135.SZ,300135,宝利国际,江苏,化工原料,L,20101026,N
300136.SZ,300136,信维通信,深圳,通信设备,L,20101105,S
300137.SZ,300137,先河环保,河北,环境保护,L,20101105,N
300138.SZ,300138,晨光生物,河北,食品,L,20101105,S
300139.SZ,300139,晓程科技,北京,元器件,L,20101112,N
300140.SZ,300140,中环装备,陕西,环境保护,L,20101112,N
300141.SZ,300141,和顺电气,江苏,电气设备,L,20101112,N
