l1code,l1name,l2code,l2name,l3code,l3name,code,name,area,market,exchange,list_status,list_date,is_hs
801960.SI,石油石化,801963.SI,炼化及贸易,859633.SI,其他石化,603798,康普顿,山东,主板,SSE,L,20160406,N
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,000552,甘肃能化,甘肃,主板,SZSE,L,19940106,S
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,000571,ST大洲,海南,主板,SZSE,L,19940525,N
801950.SI,煤炭,801952.SI,焦炭Ⅱ,859521.SI,焦炭Ⅲ,000723,美锦能源,山西,主板,SZSE,L,19970515,S
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,000937,冀中能源,河北,主板,SZSE,L,19990909,S
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,000983,山西焦煤,山西,主板,SZSE,L,20000726,S
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,001286,陕西能源,陕西,主板,SZSE,L,20230410,N
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,002128,电投能源,内蒙,中小板,SZSE,L,20070418,S
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,600121,郑州煤电,河南,主板,SSE,L,19980107,H
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,600123,兰花科创,山西,主板,SSE,L,19981217,H
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,600157,永泰能源,山西,主板,SSE,L,19980513,H
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,600188,兖矿能源,山东,主板,SSE,L,19980701,H
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,600348,华阳股份,山西,主板,SSE,L,20030821,H
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,600395,盘江股份,贵州,主板,SSE,L,20010531,H
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,600397,安源煤业,江西,主板,SSE,L,20020702,N
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,600403,大有能源,河南,主板,SSE,L,20031009,H
801950.SI,煤炭,801952.SI,焦炭Ⅱ,859521.SI,焦炭Ⅲ,600408,安泰集团,山西,主板,SSE,L,20030212,N
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,600508,上海能源,上海,主板,SSE,L,20010829,H
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,600532,*ST未来,上海,主板,SSE,L,20021031,N
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,600546,山煤国际,山西,主板,SSE,L,20030731,H
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,600575,淮河能源,安徽,主板,SSE,L,20030328,H
801950.SI,煤炭,801952.SI,焦炭Ⅱ,859521.SI,焦炭Ⅲ,600725,云维股份,云南,主板,SSE,L,19960702,N
801950.SI,煤炭,801952.SI,焦炭Ⅱ,859521.SI,焦炭Ⅲ,600740,山西焦化,山西,主板,SSE,L,19960808,H
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,600758,辽宁能源,辽宁,主板,SSE,L,19961029,H
801950.SI,煤炭,801952.SI,焦炭Ⅱ,859521.SI,焦炭Ⅲ,600792,云煤能源,云南,主板,SSE,L,19970123,N
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,600925,苏能股份,江苏,主板,SSE,L,20230329,N
